image,split,object,country,variant
bollards_1_serbia-01.png,train,bollards,1,serbia
bollards_1_serbia-02.png,train,bollards,1,serbia
bollards_1_serbia-03.png,train,bollards,1,serbia
bollards_1_serbia-04.png,train,bollards,1,serbia
bollards_1_serbia-05.png,train,bollards,1,serbia
bollards_1_serbia-06.png,train,bollards,1,serbia
bollards_1_serbia-07.png,train,bollards,1,serbia
bollards_1_serbia-08.png,train,bollards,1,serbia
bollards_1_serbia-09.png,train,bollards,1,serbia
bollards_1_serbia-10.png,train,bollards,1,serbia
bollards_1_serbia-11.png,train,bollards,1,serbia
bollards_1_serbia-12.png,train,bollards,1,serbia
bollards_1_serbia-13.png,train,bollards,1,serbia
bollards_1_serbia-14.png,train,bollards,1,serbia
bollards_1_serbia-15.png,train,bollards,1,serbia
bollards_1_serbia-16.png,train,bollards,1,serbia
bollards_1_serbia-17.png,train,bollards,1,serbia
bollards_1_serbia-18.png,train,bollards,1,serbia
bollards_1_serbia-19.png,train,bollards,1,serbia
bollards_1_serbia-20.png,train,bollards,1,serbia
bollards_1_serbia-21.png,train,bollards,1,serbia
bollards_1_serbia-22.png,train,bollards,1,serbia
bollards_1_serbia-23.png,train,bollards,1,serbia
bollards_1_serbia-24.png,train,bollards,1,serbia
bollards_1_serbia-25.png,train,bollards,1,serbia
bollards_1_serbia-26.png,train,bollards,1,serbia
bollards_1_serbia-27.png,train,bollards,1,serbia
bollards_1_serbia-28.png,train,bollards,1,serbia
bollards_1_serbia-29.png,train,bollards,1,serbia
bollards_1_serbia-30.png,train,bollards,1,serbia
bollards_1_serbia-31.png,train,bollards,1,serbia
bollards_1_serbia-32.png,train,bollards,1,serbia
bollards_1_serbia-33.png,train,bollards,1,serbia
bollards_1_serbia-34.png,train,bollards,1,serbia
bollards_1_serbia-35.png,train,bollards,1,serbia
bollards_1_serbia-36.png,train,bollards,1,serbia
bollards_1_serbia-37.png,train,bollards,1,serbia
bollards_1_serbia-38.png,train,bollards,1,serbia
bollards_1_serbia-39.png,train,bollards,1,serbia
bollards_1_serbia-40.png,train,bollards,1,serbia
bollards_1_serbia-41.png,train,bollards,1,serbia
bollards_1_serbia-42.png,train,bollards,1,serbia
bollards_1_serbia-43.png,train,bollards,1,serbia
bollards_1_serbia-44.png,train,bollards,1,serbia
bollards_1_serbia-45.png,train,bollards,1,serbia
bollards_1_serbia-46.png,train,bollards,1,serbia
bollards_1_serbia-47.png,train,bollards,1,serbia
bollards_1_serbia-48.png,train,bollards,1,serbia
bollards_1_serbia-49.png,train,bollards,1,serbia
bollards_1_serbia-50.png,train,bollards,1,serbia
bollards_1_serbia-51.png,train,bollards,1,serbia
bollards_1_serbia-52.png,train,bollards,1,serbia
bollards_1_serbia-53.png,train,bollards,1,serbia
bollards_1_serbia-54.png,train,bollards,1,serbia
bollards_1_serbia-55.png,train,bollards,1,serbia
bollards_1_serbia-56.png,train,bollards,1,serbia
bollards_1_serbia-57.png,train,bollards,1,serbia
bollards_1_serbia-58.png,train,bollards,1,serbia
bollards_1_serbia-59.png,train,bollards,1,serbia
bollards_1_serbia-60.png,train,bollards,1,serbia
bollards_1_serbia-61.png,train,bollards,1,serbia
bollards_1_serbia-62.png,train,bollards,1,serbia
bollards_1_serbia-63.png,train,bollards,1,serbia
bollards_1_serbia-64.png,train,bollards,1,serbia
bollards_1_serbia-65.png,train,bollards,1,serbia
bollards_1_serbia-66.png,train,bollards,1,serbia
bollards_1_serbia-67.png,train,bollards,1,serbia
bollards_1_serbia-68.png,train,bollards,1,serbia
bollards_1_serbia-69.png,train,bollards,1,serbia
bollards_1_serbia-70.png,train,bollards,1,serbia
